HD02_VD161,"Margin of Error; Female: - Retail trade: - Clothing and accessories, including shoe, stores"
HD01_VD162,"Estimate; Female: - Retail trade: - Jewelry, luggage, and leather goods stores"
HD02_VD162,"Margin of Error; Female: - Retail trade: - Jewelry, luggage, and leather goods stores"
HD01_VD163,"Estimate; Female: - Retail trade: - Sporting goods, and hobby and toy stores"
HD02_VD163,"Margin of Error; Female: - Retail trade: - Sporting goods, and hobby and toy stores"
HD01_VD164,"Estimate; Female: - Retail trade: - Sewing, needlework, and piece goods stores"
HD02_VD164,"Margin of Error; Female: - Retail trade: - Sewing, needlework, and piece goods stores"
HD01_VD165,Estimate; Female: - Retail trade: - Musical instrument and supplies stores
HD02_VD165,Margin of Error; Female: - Retail trade: - Musical instrument and supplies stores
HD01_VD166,Estimate; Female: - Retail trade: - Book stores and news dealers
HD02_VD166,Margin of Error; Female: - Retail trade: - Book stores and news dealers
HD01_VD167,Estimate; Female: - Retail trade: - Department and other general merchandise stores
HD02_VD167,Margin of Error; Female: - Retail trade: - Department and other general merchandise stores
HD01_VD168,Estimate; Female: - Retail trade: - Retail florists
HD02_VD168,Margin of Error; Female: - Retail trade: - Retail florists
HD01_VD169,Estimate; Female: - Retail trade: - Office supplies and stationery stores
HD02_VD169,Margin of Error; Female: - Retail trade: - Office supplies and stationery stores
HD01_VD170,"Estimate; Female: - Retail trade: - Used merchandise, gift, novelty, and souvenir, and other miscellaneous stores"
